filename,label,area,equivalent_diameter,centroid-0,centroid-1,area_sqmicron,eq_diam_micron
image17.png,1,18216.0,152.29357027430845,137.5,32.5,728.64,30.45871405486169
image17.png,2,17942.0,151.14385171629803,137.5,374.9963214803255,717.68,30.228770343259605
image17.png,3,4.0,2.256758334191025,26.75,203.0,0.16,0.45135166683820505
image17.png,4,17.0,4.652426491681278,31.058823529411764,207.47058823529412,0.68,0.9304852983362556
image17.png,5,100.0,11.283791670955125,36.18,189.2,4.0,2.256758334191025
image17.png,6,5.0,2.5231325220201604,29.6,247.2,0.2,0.5046265044040321
image17.png,7,7.0,2.985410660720923,31.0,172.0,0.28,0.5970821321441846
image17.png,8,30.0,6.180387232371033,34.63333333333333,222.36666666666667,1.2,1.2360774464742066
image17.png,9,7.0,2.985410660720923,37.714285714285715,299.42857142857144,0.28,0.5970821321441846
image17.png,10,31.0,6.282549314314218,40.83870967741935,149.93548387096774,1.24,1.2565098628628435
image17.png,11,148.0,13.727325035155395,52.020270270270274,169.39864864864865,5.92,2.745465007031079
image17.png,12,129.0,12.815923738491737,47.16279069767442,222.14728682170542,5.16,2.5631847476983474
image17.png,13,23.0,5.4115163798060095,44.17391304347826,206.17391304347825,0.92,1.082303275961202
image17.png,14,3.0,1.9544100476116797,43.333333333333336,130.33333333333334,0.12,0.3908820095223359
image17.png,15,25.0,5.641895835477563,48.6,188.32,1.0,1.1283791670955126
image17.png,16,20.0,5.046265044040321,48.45,151.25,0.8,1.0092530088080642
image17.png,17,25.0,5.641895835477563,47.04,266.4,1.0,1.1283791670955126
image17.png,18,6.0,2.763953195770684,47.833333333333336,196.16666666666666,0.24,0.5527906391541368
image17.png,19,61.0,8.812923024107548,52.68852459016394,205.0655737704918,2.44,1.7625846048215095
image17.png,20,4.0,2.256758334191025,51.25,157.25,0.16,0.45135166683820505
image17.png,21,13.0,4.068428945128219,52.53846153846154,251.15384615384616,0.52,0.8136857890256438
image17.png,22,5.0,2.5231325220201604,53.2,166.2,0.2,0.5046265044040321
image17.png,23,10.0,3.5682482323055424,53.0,243.5,0.4,0.7136496464611085
image17.png,24,5.0,2.5231325220201604,54.0,196.0,0.2,0.5046265044040321
image17.png,25,3.0,1.9544100476116797,55.666666666666664,309.3333333333333,0.12,0.3908820095223359
image17.png,26,31.0,6.282549314314218,59.354838709677416,215.48387096774192,1.24,1.2565098628628435
image17.png,27,3.0,1.9544100476116797,56.333333333333336,225.66666666666666,0.12,0.3908820095223359
image17.png,28,29.0,6.076507779746499,60.827586206896555,229.86206896551724,1.16,1.2153015559492997
image17.png,29,173.0,14.841510746523857,64.4971098265896,256.1849710982659,6.92,2.9683021493047717
image17.png,30,176.0,14.96964127403822,65.69318181818181,185.02272727272728,7.04,2.9939282548076442
image17.png,31,7.0,2.985410660720923,59.0,193.71428571428572,0.28,0.5970821321441846
image17.png,32,15.0,4.370193722368317,61.0,139.13333333333333,0.6,0.8740387444736634
image17.png,33,13.0,4.068428945128219,63.46153846153846,242.53846153846155,0.52,0.8136857890256438
image17.png,34,5.0,2.5231325220201604,62.2,270.6,0.2,0.5046265044040321
image17.png,35,64.0,9.0270333367641,65.4375,299.515625,2.56,1.8054066673528202
image17.png,36,6.0,2.763953195770684,62.5,174.5,0.24,0.5527906391541368
image17.png,37,27.0,5.863230142835039,66.48148148148148,110.74074074074075,1.08,1.1726460285670077
image17.png,38,34.0,6.579524642479541,69.5,120.67647058823529,1.36,1.3159049284959081
image17.png,39,10.0,3.5682482323055424,66.2,204.7,0.4,0.7136496464611085
image17.png,40,118.0,12.257335203001883,70.94067796610169,275.1186440677966,4.72,2.4514670406003765
image17.png,41,3.0,1.9544100476116797,68.33333333333333,125.33333333333333,0.12,0.3908820095223359
image17.png,42,3.0,1.9544100476116797,69.0,225.0,0.12,0.3908820095223359
image17.png,43,15.0,4.370193722368317,70.73333333333333,141.46666666666667,0.6,0.8740387444736634
image17.png,44,3.0,1.9544100476116797,71.66666666666667,171.33333333333334,0.12,0.3908820095223359
image17.png,45,40.0,7.136496464611085,77.675,131.025,1.6,1.427299292922217
image17.png,46,3.0,1.9544100476116797,77.33333333333333,246.66666666666666,0.12,0.3908820095223359
image17.png,47,15.0,4.370193722368317,78.4,262.4,0.6,0.8740387444736634
image17.png,48,10.0,3.5682482323055424,79.0,234.8,0.4,0.7136496464611085
image17.png,49,5.0,2.5231325220201604,78.8,298.6,0.2,0.5046265044040321
image17.png,50,6.0,2.763953195770684,79.5,219.5,0.24,0.5527906391541368
